ID,Infection_status,lf_length,lf_width,stem_diameter_mm,fruit_width,fruit_length,transect_number,field_notes,Paired_data_plants,seed_count,seed_count_notes,Seed_count_real_or_predicted,pair_number
F1,Nonsymptomatic,10.4,,4.9,8.9,11.9,,,No,38,,Real,
F10,Nonsymptomatic,11.6,,3.8,7.2,10.2,,,No,24,,Real,
F100,Nonsymptomatic,9,,3.1,6.4,8.9,,,No,18,,Real,
F11,Nonsymptomatic,14.6,,4.4,4.7,7.7,,,No,1,,Real,
F12,Nonsymptomatic,12.4,,4.2,7,8.7,,,No,41,,Real,
F13,Nonsymptomatic,10.2,,3.5,5.8,7.9,,,No,16,,Real,
F14,Nonsymptomatic,9.1,,3.1,4.6,6.3,,,No,9,,Real,
F15,Nonsymptomatic,11.6,,4.3,6.2,10.2,,,No,21,,Real,
F16,Nonsymptomatic,13.4,,4.6,8.1,11.9,,,No,47,,Real,
F17,Nonsymptomatic,9.6,,3.6,4.4,6.4,,,No,5,,Real,
F18,Nonsymptomatic,12.6,,5.6,9.3,13.5,,,No,65,,Real,
F19,Nonsymptomatic,6.5,,2.6,3.9,5.4,,munched,No,2,,Real,
F2,Nonsymptomatic,9.6,,3.9,6.8,9.2,,,No,15,,Real,
F20,Nonsymptomatic,9.2,,3,5.1,6.5,,,No,11,,Real,
F21,Nonsymptomatic,8.9,,4.9,6.9,10.9,,munched,No,30,,Real,
F22,Nonsymptomatic,8,,3.2,5.3,6.6,,,No,10,,Real,
F23,Nonsymptomatic,10.5,,4.5,5,6,,,No,0,,Real,
F24,Nonsymptomatic,8.6,,2.6,6,6.8,,antho,No,5,,Real,
F25,Nonsymptomatic,8.2,,2.7,6,6.5,,,No,15,,Real,
F26,Nonsymptomatic,10,,4.6,4.5,8.4,,tear/munch,No,0,seed pod deflated,Real,
F27,Nonsymptomatic,6.6,,3,3.6,4.9,,munch,No,0,seed pod deflated,Real,
F28,Nonsymptomatic,11,,4.4,6.6,9.9,,,No,33,,Real,
F29,Nonsymptomatic,10,,4.8,7,8.5,,munch,No,29,,Real,
F3,Nonsymptomatic,8,,2.8,5.1,7.1,,,No,12,,Real,
F30,Nonsymptomatic,9.9,,3.7,4.6,6.4,,,No,2,,Real,
F31,Nonsymptomatic,10.9,,6.8,11.1,14.2,,,No,69,,Real,
F32,Nonsymptomatic,11.9,,5.7,8.3,11.6,,,No,50,,Real,
F33,Nonsymptomatic,10.4,,4.5,6.2,9.1,,,No,23,,Real,
F34,Nonsymptomatic,7.7,,2.9,6,6.9,,,No,16,,Real,
