ID,DH_type,Date,infected_adult,adult_count,juvenile_count,one_leaf_count,cot_count
H001,H,20-May,0,0,0,1,0
H002,,,,,,,
H003,H,20-May,0,0,5,1,0
H004,,,,,,,
H005,H,21-May,0,8,6,1,0
H006,H,21-May,0,0,3,0,0
H007,H,16-May,0,3,1,0,0
H008,H,16-May,0,1,42,1,0
H009,H,16-May,0,0,2,0,0
H010,H,16-May,0,1,1,0,0
H011,H,16-May,0,2,3,1,0
H012,H,17-May,0,1,8,1,0
H013,H,15-May,0,1,3,0,0
H014,H,17-May,0,1,36,8,0
H015,H,17-May,0,3,2,1,0
H016,H,18-May,0,1,9,5,0
H017,H,18-May,0,1,1,0,0
H018,H,18-May,0,0,0,0,0
H019,,,,,,,
H020,H,20-May,0,3,4,3,0
H021,H,27-May,0,2,0,4,0
H022,,,,,,,
H023,H,17-May,0,4,4,0,0
H024,H,15-May,0,0,0,4,0
H025,,,,,,,
H026,H,15-May,2,0,4,3,0
H027,,,,,,,
H028,,,,,,,
H029,,,,,,,
H030,H,20-May,0,1,2,0,0
H031,H,24-May,0,1,0,0,0
H032,,,,,,,
H033,,,,,,,
H034,H,24-May,0,0,2,0,0
H035,H,22-May,0,3,9,0,0
H036,H,15-May,0,3,0,0,0
H037,,,,,,,
H038,,,,,,,
H039,H,15-May,0,0,2,0,0
H040,H,16-May,0,1,3,0,0
H041,H,16-May,0,3,14,0,0
H042,H,15-May,,2,1,0,0
H043,,,,,,,
H044,,,,,,,
H045,,,,,,,
H046,,,,,,,
H047,H,23-May,0,1,2,1,0
H048,H,16-May,0,1,2,0,0
H049,H,23-May,0,1,1,0,0
H050,,,,,,,
H051,H,21-May,0,0,3,0,0
H052,H,21-May,0,0,1,0,0
H053,H,21-May,0,0,0,0,0
H054,,,,,,,
H055,,,,,,,
H056,H,03-Jun,0,1,3,1,0
H057,,,,,,,
H058,,,,,,,
H059,,,,,,,
H060,,,,,,,
H061,,,,,,,
H062,H,23-May,0,0,0,2,0
H063,H,23-May,0,0,3,1,0
H064,,,,,,,
H065,H,23-May,0,3,8,6,0
H066,H,24-May,0,0,0,0,0
H067,,,,,,,
H068,,,,,,,
H069,H,24-May,0,2,0,1,0
H070,H,23-May,0,5,7,4,0
H071,H,23-May,1,0,0,0,0
H072,,,,,,,
H073,H,23-May,0,2,3,0,0
H074,,,,,,,
H075,H,22-May,2,0,1,0,0
H076,H,22-May,1,0,0,0,0
H077,H,22-May,0,0,2,0,0
H078,H,21-May,0,0,0,0,0
H079,H,21-May,0,0,0,0,0
H080,H,20-May,0,2,2,0,0
H081,H,20-May,0,1,3,2,0
H082,,,,,,,
H083,,,,,,,
H084,,,,,,,
H085,,,,,,,
H086,,,,,,,
H087,,,,,,,
H088,,,,,,,
H089,,,,,,,
H090,,,,,,,
H091,,,,,,,
H092,H,15-May,0,3,2,0,0
H093,H,15-May,0,0,1,0,0
H094,H,16-May,0,6,5,1,0
H095,H,16-May,0,5,12,1,0
H096,H,17-May,0,2,3,0,0
H097,H,17-May,0,0,1,0,0
H098,H,17-May,0,2,7,6,0
H099,H,17-May,0,2,4,1,0
H100,H,17-May,1,1,9,4,0
H101,H,18-May,0,0,1,0,0
H102,H,18-May,0,0,2,1,0
H103,H,18-May,0,3,3,1,0
H104,H,20-May,0,3,6,0,0
H105,H,20-May,0,2,3,1,0
H106,H,20-May,0,1,2,0,0
H107,H,20-May,1,0,5,2,0
H108,H,21-May,0,4,2,4,0
H109,H,21-May,0,1,13,9,0
H110,H,21-May,0,1,3,4,0
H111,H,21-May,0,0,3,0,0
H112,H,21-May,0,0,0,0,0
H113,H,21-May,3,0,10,6,0
H114,H,21-May,0,0,3,6,0
H115,H,21-May,0,2,4,10,0
H116,H,21-May,1,2,5,12,0
H117,H,May21,0,1,6,4,0
