Plot,Population,Infection,Stem_diam_mm,Leaf_length_cm,Sepal_length_cm,Height_cm,Surveyor,Sepal_to_leaf_ratio
1,2,0,NA,9.8,3.7,25,JB,0.3775510204
2,6,1,NA,13,7.9,38.5,JB,0.6076923077
4,4,1,NA,9.6,4.9,26,JB,0.5104166667
4,4,1,NA,7.4,4.4,14.3,JB,0.5945945946
4,4,0,NA,10,3.8,32.8,JB,0.38
5,4,1,NA,10.4,6.6,25.7,JB,0.6346153846
5,4,0,NA,10.6,4.3,30.5,JB,0.4056603774
6,4,1,NA,9.8,5.7,20.6,JB,0.5816326531
6,4,0,NA,10.5,3.9,25.5,JB,0.3714285714
7,4,1,NA,9.8,5,25,JB,0.5102040816
7,4,1,NA,6.6,3.5,19,JB,0.5303030303
7,4,0,NA,11.8,4.5,37,JB,0.3813559322
7,4,0,NA,10.1,3.5,27,JB,0.3465346535
8,4,1,NA,9.3,4.7,27,JB,0.5053763441
8,4,0,NA,11,4.5,33,JB,0.4090909091
15,1,0,4,7.9,3.4,25.5,JF,0.4303797468
16,1,0,3.1,7.3,3,25.9,JF,0.4109589041
17,1,0,2.9,5.2,2.6,19.5,JF,0.5
17,1,1,4.1,10.5,6.4,22.6,JF,0.6095238095
17,1,1,5,10.5,5.5,29.1,JF,0.5238095238
18,1,0,5.1,7.4,2.82,30.1,JF,0.3810810811
19,2,0,5,9.5,4.1,31.2,JF,0.4315789474
20,2,1,5.1,11.8,4.1,33.5,JF,0.3474576271
20,2,1,5.1,11.7,4.2,34,JF,0.358974359
20,2,1,4.5,10.2,3.4,28.6,JF,0.3333333333
21,2,0,3,10.4,3.6,27.9,JF,0.3461538462
22,2,0,4,9.5,4.1,30.5,JF,0.4315789474
23,2,1,4.4,9.2,5.6,20.3,JF,0.6086956522
23,2,1,3.2,5.1,4.1,16.7,JF,0.8039215686
23,2,1,4.5,10.6,6.6,25.7,JF,0.6226415094
23,2,1,5.1,9.1,5.7,28.8,JF,0.6263736264
23,2,1,7,10.5,6.2,27.5,JF,0.5904761905
24,2,1,3,6.2,3.95,13.3,JF,0.6370967742
25,2,1,3.8,3.7,4,16.7,JF,1.081081081
26,2,1,5.1,9.55,5.2,26.9,JF,0.5445026178
26,2,1,2.9,5.5,3.8,13.9,JF,0.6909090909
26,2,1,3.8,9.2,3.62,18,JF,0.3934782609
27,2,1,3.1,8.8,2.5,17.5,JF,0.2840909091
29,3,0,5.2,11.3,4.3,38.6,JF,0.3805309735
29,3,1,3.2,7.1,6.2,23.3,JF,0.8732394366
30,3,0,4.8,8.7,3.4,29.6,JF,0.3908045977
31,8,0,4,8.3,3.4,28.9,JF,0.4096385542
31,8,1,5.6,7.7,5.4,21.9,JF,0.7012987013
32,9,0,4.4,8.8,3.2,28.6,JF,0.3636363636
32,9,1,3.8,7.8,5,17.4,JF,0.641025641
33,1,0,3.2,5.8,2.5,19.1,JF,0.4310344828
33,1,0,5.1,10.3,4,34.5,JF,0.3883495146
33,1,0,3.5,7.5,3.2,25.2,JF,0.4266666667
33,1,0,4.5,8.7,3.55,26.5,JF,0.408045977
33,1,0,4,7.4,3.1,26.6,JF,0.4189189189
33,1,0,2.9,6.8,2.75,19.7,JF,0.4044117647
34,1,0,4,9,3.3,25.5,JF,0.3666666667
34,1,0,3,6.5,2.9,19,JF,0.4461538462
34,1,0,2.9,6.1,2.5,23.1,JF,0.4098360656
34,1,0,3.4,7.9,3.4,29.5,JF,0.4303797468
34,1,1,4.6,8,3.25,32.1,JF,0.40625
35,1,0,2.9,6,2.7,23.6,JF,0.45
36,1,1,3.8,7.8,3.25,24.6,JF,0.4166666667
36,1,1,4.2,8,4.4,25.15,JF,0.55
37,1,1,3,6.2,3.9,17.85,JF,0.6290322581
38,1,0,4,9.1,3.8,28.9,JF,0.4175824176
39,9,1,2.9,8.5,5.3,15.6,JF,0.6235294118
