id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:phytoplasma infection?
27327,9b9e847d-2526-4790-9a6b-b1128bc52674,39933.50764,39933,2009-04-30 16:11:00 UTC,Eastern Time (US & Canada),2370,ctracey,Christopher Tracey,2011-08-10 01:24:15 UTC,2019-10-31 19:26:33 UTC,research,CC-BY,http://www.inaturalist.org/observations/27327,https://static.inaturalist.org/photos/48974/medium.jpg,,,,1,0,FALSE,,"Franklin Twp, Pennsylvania, United States",41.957945,-80.231703,,,,,,,,FALSE,,,Large White Trillium,Trillium grandiflorum,large white trillium,Plantae,55402,
28371,133fb8b4-fe53-49fa-99df-cf36bb79daf7,40654,40654,,Eastern Time (US & Canada),2544,dnydick,Dan Nydick,2011-08-18 02:30:09 UTC,2019-10-31 19:26:28 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/28371,https://inaturalist-open-data.s3.amazonaws.com/photos/50430/medium.png,,,,1,0,FALSE,,"West Finley, PA",39.95929352,-80.46798706,,,,,,,,FALSE,,,Large White Trillium,Trillium grandiflorum,large white trillium,Plantae,55402,
60098,55095762-4af9-45bf-af46-b66e158d652c,40993,40993,,Eastern Time (US & Canada),4795,katydid,Katy Lustofin,2012-03-25 22:03:56 UTC,2024-12-27 18:14:29 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/60098,https://inaturalist-open-data.s3.amazonaws.com/photos/93052/medium.JPG,,,,1,0,FALSE,,"Marietta, OH",39.43090819,-81.50245817,,,,,,,,FALSE,,,Large White Trillium,Trillium grandiflorum,large white trillium,Plantae,55402,
60811,d3193af4-13bc-48e5-8f35-35649ed2bfd3,40656,40656,,Eastern Time (US & Canada),5245,kent_miller,Kent Miller,2012-03-30 01:31:04 UTC,2019-10-31 19:25:55 UTC,research,CC-BY,http://www.inaturalist.org/observations/60811,https://inaturalist-open-data.s3.amazonaws.com/photos/94051/medium.JPG,,,,1,0,FALSE,,"Farm near Clark, OH",40.46290574,-81.86868312,,,,,,,,FALSE,,,Large White Trillium,Trillium grandiflorum,large white trillium,Plantae,55402,
60816,9fd7add5-dcff-48d4-a8ac-b5618969b019,40669,40669,,Eastern Time (US & Canada),5245,kent_miller,Kent Miller,2012-03-30 01:45:29 UTC,2017-08-14 21:27:18 UTC,research,CC-BY,http://www.inaturalist.org/observations/60816,https://inaturalist-open-data.s3.amazonaws.com/photos/94056/medium.JPG,,,,1,0,FALSE,,Shawnee State Forest,38.7291895,-83.2291862,21533,,,,21533,,,FALSE,,,large white trillium,Trillium grandiflorum,large white trillium,Plantae,55402,
63194,f4bc823f-76c4-47ff-ba68-727b2773078d,40998,40998,,Eastern Time (US & Canada),4172,chia,Chia aka Cory Chiappone,2012-04-07 22:37:50 UTC,2019-10-31 19:25:50 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/63194,https://inaturalist-open-data.s3.amazonaws.com/photos/3148650/medium.JPG,,,,1,0,FALSE,,"Ohio, US",38.64322253,-83.22765084,1938,,,,28210,obscured,,TRUE,,,Large White Trillium,Trillium grandiflorum,large white trillium,Plantae,55402,
65160,a706a122-c876-4c34-b7ba-3808d2ab7564,41012,41012,,Eastern Time (US & Canada),3847,rpayne,Ron Payne,2012-04-13 16:54:00 UTC,2024-02-09 21:50:45 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/65160,https://inaturalist-open-data.s3.amazonaws.com/photos/99495/medium.jpg,,,Almost...,4,0,FALSE,,chipman hill middlebury,44.02670413,-73.16000764,,,,,,,open,FALSE,,,Large White Trillium,Trillium grandiflorum,large white trillium,Plantae,55402,
65778,6a95f74d-0cab-4c70-86a8-e20f2a907629,41002,41002,,Eastern Time (US & Canada),5813,fluffberger,Fluff Berger,2012-04-15 01:43:20 UTC,2019-10-31 19:25:46 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/65778,https://inaturalist-open-data.s3.amazonaws.com/photos/100245/medium.jpg,,spring flower,,1,0,FALSE,,"Sewickley, PA, USA",40.5364566,-80.1845031,2942,,,,2942,,,FALSE,,,Large White Trillium,Trillium grandiflorum,large white trillium,Plantae,55402,
65842,3ccafdc3-5375-4b72-afa0-ef46a4b7236b,"April 14, 2012 5:38:15 PM EDT",41013,2012-04-14 21:38:15 UTC,Eastern Time (US & Canada),6043,pedalinggal,,2012-04-15 12:00:57 UTC,2019-10-31 19:25:41 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/65842,https://inaturalist-open-data.s3.amazonaws.com/photos/100331/medium.jpg,,,,2,0,FALSE,,"Marie Butler Leven Preserve, Pimmit Run Trail, McLean, Fairfax (city), Virginia, United States of America",38.92808151,-77.14524078,30,,,,30,,,FALSE,,,Large White Trillium,Trillium grandiflorum,large white trillium,Plantae,55402,
67694,7b1ffa05-e8e3-4b17-aa39-82d9fb36e86e,Thu Apr 19 2012 13:42:54 GMT-0400 (EDT),41018,2012-04-19 17:42:54 UTC,Eastern Time (US & Canada),4873,mperdicas,Marlo Perdicas,2012-04-19 17:54:40 UTC,2017-08-14 18:35:54 UTC,research,CC-BY,http://www.inaturalist.org/observations/67694,https://static.inaturalist.org/photos/102816/medium.jpg,,,,2,0,FALSE,,"7492 Riverview Rd, Brecksville, Ohio, US",41.275156,-81.568657,5,,,,5,,,FALSE,,,large white trillium,Trillium grandiflorum,large white trillium,Plantae,55402,
